version                 name                    version_id              code_name                               life            release         support         long_term       rhel            kerne                       note                        wallpaper                                                                               create_flag sort_flag   
opensuse-leap-16.1      openSUSE                16.1                    -                                       -               20xx-xx-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
opensuse-tumbleweed     openSUSE                tumbleweed              -                                       -               2014-11-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           1           
windows-10-22h2         Windows                 10.0-22h2               -                                       ESU             2022-10-18      2025-10-14      -               -               -                           -                           -                                                                                       -           0           
windows-11-24h2         Windows                 11.0-24h2               -                                       -               2024-10-01      2026-10-13      -               -               -                           -                           -                                                                                       -           0           
windows-11-25h2         Windows                 11.0-25h2               -                                       -               2025-09-30      2027-10-12      -               -               -                           -                           -                                                                                       -           0           
windows-11-26h2         Windows                 11.0-26h2               -                                       -               2026-xx-xx      202x-xx-xx      -               -               -                           -                           -                                                                                       -           0           
memtest86plus-7.20      Memtest86+              7.20                    -                                       EOL             2024-11-12      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
memtest86plus-8.00      Memtest86+              8.00                    -                                       -               2025-11-24      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
memtest86plus-8.10      Memtest86+              8.10                    -                                       -               2026-05-16      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
winpe-x86               WinPE                   x86                     -                                       -               20xx-xx-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
winpe-x64               WinPE                   x64                     -                                       -               20xx-xx-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
ati2020x86              ATI2020                 2020x86                 -                                       -               20xx-xx-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
ati2020x64              ATI2020                 2020x64                 -                                       -               20xx-xx-xx      20xx-xx-xx      -               -               -                           -                           -                                                                                       -           0           
